raceId,position
1,1
2,1
3,3
4,1
5,1
6,1
7,1
8,6
9,5
10,7
11,7
13,2
14,5
15,8
16,5
17,3
19,10
21,6
22,11
23,11
24,11
27,17
28,12
29,13
30,15
31,15
32,9
33,14
34,16
35,13
36,15
37,12
39,12
40,11
42,12
43,8
44,10
47,13
48,8
50,11
51,5
53,4
54,3
55,10
56,7
58,6
59,11
61,9
64,4
65,1
66,4
67,5
68,4
69,4
70,3
77,10
80,4
81,5
82,3
83,5
84,5
85,8
86,3
87,7
88,5
89,8
90,6
91,3
92,3
93,2
94,8
95,2
96,3
97,3
99,5
100,4
101,2
102,5
104,3
105,2
106,3
108,10
109,7
111,8
112,9
113,4
116,7
118,8
119,8
120,10
123,4
125,4
126,4
127,5
128,12
129,7
131,15
132,5
133,12
134,6
138,5
139,8
140,6
142,11
143,10
144,12
145,15
147,7
149,13
150,16
151,15
152,5
156,9
157,7
159,6
161,5
162,17
163,10
165,11
166,8
167,5
168,4
169,9
170,5
173,5
337,7
338,1
339,8
340,1
341,5
343,2
344,2
345,3
346,4
347,5
348,8
350,2
351,4
352,4
353,12
354,5
355,3
841,6
842,2
843,4
844,6
845,3
846,3
847,1
848,6
851,1
852,3
853,2
854,2
855,1
856,4
857,2
858,3
859,3
860,1
861,14
862,2
863,18
864,9
865,16
866,16
867,8
868,10
869,2
870,6
871,1
873,2
874,4
876,5
877,4
878,5
879,1
880,9
881,17
882,5
883,10
884,8
885,6
886,12
887,13
888,6
890,7
891,6
892,10
893,7
894,8
895,9
896,14
897,12
898,10
899,4
900,3
901,6
902,17
903,11
904,11
905,6
906,4
907,11
908,4
909,8
910,10
911,6
912,8
914,5
915,4
916,12
917,4
918,5
931,8
930,16
928,14
926,11
936,9
937,14
938,14
940,16
941,9
942,6
943,14
944,14
945,12
948,14
950,13
951,10
952,9
953,9
955,11
956,6
957,12
959,8
961,12
963,9
964,18
965,9
966,12
967,16
