,Number,Name,Wins,Podiums,Points,No_Points,DNFs,DNS,Position
0,44,Lewis Hamilton,11,3,2,0,0,1,1
114,77,Valtteri Bottas,2,9,3,2,1,0,2
165,33,Max Verstappen,2,9,1,0,5,0,3
82,11,Sergio Pérez,1,1,11,1,1,2,4
97,3,Daniel Ricciardo,0,2,12,2,1,0,5
182,55,Carlos Sainz,0,1,11,2,3,0,6
300,23,Alexander Albon,0,2,10,4,1,0,7
249,16,Charles Leclerc,0,2,8,3,4,0,8
266,4,Lando Norris,0,1,12,3,1,0,9
65,10,Pierre Gasly,1,0,9,4,3,0,10
216,18,Lance Stroll,0,2,8,1,5,1,11
199,31,Esteban Ocon,0,1,9,3,4,0,12
33,5,Sebastian Vettel,0,1,6,8,2,0,13
148,26,Daniil Kvyat,0,0,7,9,1,0,14
16,7,Kimi Räikkönen,0,0,2,14,1,0,16
232,99,Antonio Giovinazzi,0,0,3,11,3,0,17
283,63,George Russell,0,0,1,12,4,0,18
50,8,Romain Grosjean,0,0,1,11,3,2,19
131,20,Kevin Magnussen,0,0,1,10,6,0,20
317,6,Nicholas Latifi,0,0,0,14,3,0,21
