,driverId,name,races,podiums,wins,poles,fastest_lap
0,1,Lewis Hamilton,266,165,95,98,53
1,8,Kimi Räikkönen,332,103,21,18,43
2,20,Sebastian Vettel,258,121,53,57,37
3,154,Romain Grosjean,181,10,0,0,1
4,842,Pierre Gasly,64,2,1,0,2
5,807,Nico Hülkenberg,182,0,0,1,2
6,815,Sergio Pérez,193,10,1,0,4
7,817,Daniel Ricciardo,188,31,7,3,15
8,822,Valtteri Bottas,157,56,9,16,15
9,825,Kevin Magnussen,120,1,0,0,2
10,826,Daniil Kvyat,112,3,0,0,1
11,830,Max Verstappen,119,42,10,3,10
12,832,Carlos Sainz,119,2,0,0,1
13,839,Esteban Ocon,67,1,0,0,0
14,840,Lance Stroll,78,3,0,1,0
15,841,Antonio Giovinazzi,40,0,0,0,0
16,844,Charles Leclerc,59,12,2,7,4
17,846,Lando Norris,38,1,0,0,2
18,847,George Russell,38,0,0,0,1
19,848,Alexander Albon,38,2,0,0,0
20,849,Nicholas Latifi,17,0,0,0,0
