,driver_name,raceId,position,year,name,q1_seconds,q2_seconds,q3_seconds
1728,Lewis Hamilton,849,10,2011,British Grand Prix,93.581,92.505,92.376
1729,Nick Heidfeld,849,16,2011,British Grand Prix,95.132,93.805,0.0
1730,Nico Rosberg,849,9,2011,British Grand Prix,94.186,92.295,92.209
1731,Fernando Alonso,849,3,2011,British Grand Prix,92.986,91.727,90.516
1732,Heikki Kovalainen,849,17,2011,British Grand Prix,94.923,94.821,0.0
1733,Timo Glock,849,20,2011,British Grand Prix,96.203,0.0,0.0
1734,Felipe Massa,849,4,2011,British Grand Prix,92.76,91.64,91.124
1735,Jarno Trulli,849,21,2011,British Grand Prix,96.456,0.0,0.0
1736,Adrian Sutil,849,11,2011,British Grand Prix,94.454,92.617,0.0
1737,Mark Webber,849,1,2011,British Grand Prix,92.67,91.673,90.399
1738,Jenson Button,849,5,2011,British Grand Prix,94.23,92.273,91.898
1739,Sebastian Vettel,849,2,2011,British Grand Prix,92.977,92.379,90.431
1740,Rubens Barrichello,849,15,2011,British Grand Prix,93.532,93.119,0.0
1741,Vitantonio Liuzzi,849,23,2011,British Grand Prix,97.484,0.0,0.0
1742,Michael Schumacher,849,13,2011,British Grand Prix,94.16,92.656,0.0
1743,Sébastien Buemi,849,19,2011,British Grand Prix,95.749,0.0,0.0
1744,Jaime Alguersuari,849,18,2011,British Grand Prix,95.245,0.0,0.0
1745,Kamui Kobayashi,849,8,2011,British Grand Prix,94.324,92.399,92.128
1746,Vitaly Petrov,849,14,2011,British Grand Prix,94.428,92.734,0.0
1747,Pastor Maldonado,849,7,2011,British Grand Prix,92.702,92.588,91.933
1748,Paul di Resta,849,6,2011,British Grand Prix,94.472,92.569,91.929
1749,Sergio Pérez,849,12,2011,British Grand Prix,94.145,92.624,0.0
1750,Jérôme d'Ambrosio,849,22,2011,British Grand Prix,97.154,0.0,0.0
1751,Daniel Ricciardo,849,24,2011,British Grand Prix,98.059,0.0,0.0
2156,Lewis Hamilton,868,8,2012,British Grand Prix,107.433,114.897,113.543
2157,Nico Rosberg,868,13,2012,British Grand Prix,107.724,117.108,0.0
2158,Fernando Alonso,868,1,2012,British Grand Prix,106.515,116.921,111.746
2159,Heikki Kovalainen,868,20,2012,British Grand Prix,109.477,0.0,0.0
2160,Kimi Räikkönen,868,6,2012,British Grand Prix,107.309,116.469,113.29
2161,Timo Glock,868,21,2012,British Grand Prix,111.618,0.0,0.0
2162,Felipe Massa,868,5,2012,British Grand Prix,107.401,116.388,113.065
2163,Mark Webber,868,2,2012,British Grand Prix,107.276,115.898,111.793
2164,Jenson Button,868,18,2012,British Grand Prix,108.044,0.0,0.0
2165,Sebastian Vettel,868,4,2012,British Grand Prix,106.279,116.931,112.199
2166,Michael Schumacher,868,3,2012,British Grand Prix,106.571,115.799,112.02
2167,Pedro de la Rosa,868,22,2012,British Grand Prix,112.742,0.0,0.0
2168,Narain Karthikeyan,868,23,2012,British Grand Prix,113.04,0.0,0.0
2169,Romain Grosjean,868,10,2012,British Grand Prix,107.043,116.388,0.0
2170,Kamui Kobayashi,868,12,2012,British Grand Prix,106.649,117.071,0.0
2171,Nico Hülkenberg,868,9,2012,British Grand Prix,106.334,115.556,114.382
2172,Vitaly Petrov,868,19,2012,British Grand Prix,109.027,0.0,0.0
2173,Bruno Senna,868,15,2012,British Grand Prix,107.105,117.426,0.0
2174,Pastor Maldonado,868,7,2012,British Grand Prix,106.449,116.802,113.539
2175,Paul di Resta,868,11,2012,British Grand Prix,107.582,117.009,0.0
2176,Sergio Pérez,868,17,2012,British Grand Prix,106.494,117.895,0.0
2177,Daniel Ricciardo,868,14,2012,British Grand Prix,107.266,117.132,0.0
2178,Jean-Éric Vergne,868,16,2012,British Grand Prix,107.705,117.719,0.0
2179,Charles Pic,868,24,2012,British Grand Prix,114.143,0.0,0.0
2596,Lewis Hamilton,887,1,2013,British Grand Prix,90.995,91.224,89.607
2597,Nico Rosberg,887,2,2013,British Grand Prix,91.355,91.028,90.059
2598,Fernando Alonso,887,10,2013,British Grand Prix,92.266,91.387,90.979
2599,Kimi Räikkönen,887,9,2013,British Grand Prix,91.4,91.592,90.962
2600,Felipe Massa,887,12,2013,British Grand Prix,92.241,91.779,0.0
2601,Adrian Sutil,887,7,2013,British Grand Prix,92.002,91.097,90.908
2602,Mark Webber,887,4,2013,British Grand Prix,91.605,91.002,90.22
2603,Jenson Button,887,11,2013,British Grand Prix,91.979,91.649,0.0
2604,Sebastian Vettel,887,3,2013,British Grand Prix,91.559,90.99,90.211
2605,Romain Grosjean,887,8,2013,British Grand Prix,91.466,91.53,90.955
2606,Nico Hülkenberg,887,15,2013,British Grand Prix,92.168,92.211,0.0
2607,Pastor Maldonado,887,16,2013,British Grand Prix,92.512,92.359,0.0
2608,Paul di Resta,887,5,2013,British Grand Prix,92.062,91.291,90.736
2609,Sergio Pérez,887,14,2013,British Grand Prix,91.953,92.082,0.0
2610,Daniel Ricciardo,887,6,2013,British Grand Prix,92.097,91.182,90.757
2611,Jean-Éric Vergne,887,13,2013,British Grand Prix,92.105,91.785,0.0
2612,Charles Pic,887,19,2013,British Grand Prix,93.866,0.0,0.0
2613,Max Chilton,887,22,2013,British Grand Prix,95.858,0.0,0.0
2614,Esteban Gutiérrez,887,18,2013,British Grand Prix,92.666,0.0,0.0
2615,Valtteri Bottas,887,17,2013,British Grand Prix,92.664,0.0,0.0
2616,Giedo van der Garde,887,21,2013,British Grand Prix,95.481,0.0,0.0
2617,Jules Bianchi,887,20,2013,British Grand Prix,94.108,0.0,0.0
3060,Lewis Hamilton,908,6,2014,British Grand Prix,101.058,94.87,99.232
3061,Nico Rosberg,908,1,2014,British Grand Prix,100.38,95.179,95.766
3062,Fernando Alonso,908,19,2014,British Grand Prix,105.935,0.0,0.0
3063,Kimi Räikkönen,908,20,2014,British Grand Prix,106.684,0.0,0.0
3064,Felipe Massa,908,18,2014,British Grand Prix,105.695,0.0,0.0
3065,Adrian Sutil,908,16,2014,British Grand Prix,102.603,0.0,0.0
3066,Jenson Button,908,3,2014,British Grand Prix,104.425,96.579,98.2
3067,Sebastian Vettel,908,2,2014,British Grand Prix,105.086,96.41,97.386
3068,Romain Grosjean,908,11,2014,British Grand Prix,103.121,98.496,0.0
3069,Kamui Kobayashi,908,22,2014,British Grand Prix,109.625,0.0,0.0
3070,Nico Hülkenberg,908,4,2014,British Grand Prix,101.271,97.112,98.329
3071,Pastor Maldonado,908,15,2014,British Grand Prix,103.892,104.018,0.0
3072,Sergio Pérez,908,7,2014,British Grand Prix,102.146,97.35,100.457
3073,Daniel Ricciardo,908,8,2014,British Grand Prix,104.71,98.166,100.606
3074,Jean-Éric Vergne,908,10,2014,British Grand Prix,103.04,97.8,100.855
3075,Max Chilton,908,13,2014,British Grand Prix,102.082,99.8,0.0
3076,Esteban Gutiérrez,908,14,2014,British Grand Prix,103.285,100.912,0.0
3077,Valtteri Bottas,908,17,2014,British Grand Prix,105.318,0.0,0.0
3078,Jules Bianchi,908,12,2014,British Grand Prix,101.169,98.709,0.0
3079,Kevin Magnussen,908,5,2014,British Grand Prix,102.507,97.37,98.417
3080,Daniil Kvyat,908,9,2014,British Grand Prix,101.032,96.813,100.707
3081,Marcus Ericsson,908,21,2014,British Grand Prix,109.421,0.0,0.0
3444,Lewis Hamilton,934,1,2015,British Grand Prix,93.796,93.068,92.248
3445,Nico Rosberg,934,2,2015,British Grand Prix,93.475,92.737,92.361
3446,Fernando Alonso,934,17,2015,British Grand Prix,94.959,0.0,0.0
3447,Kimi Räikkönen,934,5,2015,British Grand Prix,93.426,93.911,93.379
3448,Felipe Massa,934,3,2015,British Grand Prix,94.542,93.707,93.085
3449,Jenson Button,934,18,2015,British Grand Prix,95.207,0.0,0.0
3450,Sebastian Vettel,934,6,2015,British Grand Prix,93.562,93.641,93.547
3451,Romain Grosjean,934,12,2015,British Grand Prix,94.646,94.43,0.0
3452,Nico Hülkenberg,934,9,2015,British Grand Prix,94.594,93.693,93.673
3453,Pastor Maldonado,934,14,2015,British Grand Prix,94.877,94.511,0.0
3454,Sergio Pérez,934,11,2015,British Grand Prix,94.25,94.268,0.0
3455,Daniel Ricciardo,934,10,2015,British Grand Prix,94.272,93.749,93.943
3456,Valtteri Bottas,934,4,2015,British Grand Prix,94.171,93.02,93.149
3457,Daniil Kvyat,934,7,2015,British Grand Prix,94.422,93.52,93.636
3458,Marcus Ericsson,934,15,2015,British Grand Prix,94.643,94.868,0.0
3459,Will Stevens,934,19,2015,British Grand Prix,97.364,0.0,0.0
3460,Max Verstappen,934,13,2015,British Grand Prix,94.819,94.502,0.0
