,source_iata_code,source_coordinates,source_iso_country,dest_iata_code,dest_coordinates,dest_iso_country
494,LHR,"-0.461941, 51.4706",GB,DME,"37.90629959106445, 55.40879821777344",RU
1137,LHR,"-0.461941, 51.4706",GB,LED,"30.262500762939453, 59.80030059814453",RU
1350,LHR,"-0.461941, 51.4706",GB,SVO,"37.4146, 55.972599",RU
1623,LHR,"-0.461941, 51.4706",GB,VKO,"37.2615013123, 55.5914993286",RU
2099,LHR,"-0.461941, 51.4706",GB,PRG,"14.26, 50.1008",CZ
2530,LHR,"-0.461941, 51.4706",GB,ATH,"23.9444999695, 37.9364013672",GR
3222,LHR,"-0.461941, 51.4706",GB,DUS,"6.76678, 51.289501",DE
3604,LHR,"-0.461941, 51.4706",GB,FRA,"8.570556, 50.033333",DE
4225,LHR,"-0.461941, 51.4706",GB,MUC,"11.7861, 48.353802",DE
4707,LHR,"-0.461941, 51.4706",GB,TXL,"13.2877, 52.5597",DE
4886,LHR,"-0.461941, 51.4706",GB,HEL,"24.963300704956, 60.317199707031",FI
5825,LHR,"-0.461941, 51.4706",GB,FCO,"12.2388889, 41.8002778",IT
7976,LHR,"-0.461941, 51.4706",GB,VIE,"16.569700241089, 48.110298156738",AT
8239,LHR,"-0.461941, 51.4706",GB,AGP,"-4.499110221862793, 36.67490005493164",ES
8700,LHR,"-0.461941, 51.4706",GB,BCN,"2.07846, 41.2971",ES
9090,LHR,"-0.461941, 51.4706",GB,MAD,"-3.56264, 40.471926",ES
9365,LHR,"-0.461941, 51.4706",GB,PMI,"2.73881006241, 39.551700592",ES
9938,LHR,"-0.461941, 51.4706",GB,MLA,"14.4775, 35.857498",MT
10085,LHR,"-0.461941, 51.4706",GB,GVA,"6.108950138092041, 46.23809814453125",CH
10302,LHR,"-0.461941, 51.4706",GB,ZRH,"8.54917, 47.464699",CH
10761,LHR,"-0.461941, 51.4706",GB,KBP,"30.894699096679688, 50.345001220703125",UA
11577,LHR,"-0.461941, 51.4706",GB,LIS,"-9.13592, 38.7813",PT
12315,LHR,"-0.461941, 51.4706",GB,BRU,"4.48443984985, 50.901401519800004",BE
13276,LHR,"-0.461941, 51.4706",GB,NCE,"7.215869903560001, 43.6584014893",FR
13945,LHR,"-0.461941, 51.4706",GB,MAN,"-2.2749500274658203, 53.35369873046875",GB
14192,LHR,"-0.461941, 51.4706",GB,CGN,"7.1427397728, 50.8658981323",DE
14857,LHR,"-0.461941, 51.4706",GB,MXP,"8.72811, 45.6306",IT
16002,LHR,"-0.461941, 51.4706",GB,CDG,"2.55, 49.012798",FR
17173,LHR,"-0.461941, 51.4706",GB,BUD,"19.261093, 47.42976",HU
17447,LHR,"-0.461941, 51.4706",GB,VCE,"12.3519, 45.505299",IT
17585,LHR,"-0.461941, 51.4706",GB,OSL,"11.100399971008, 60.193901062012",NO
