LifeLadder,LogGDPPerCap,LifeExp
5.365,9.497,69.3
5.901,9.85,69.2
7.1370000000000005,10.76,74.2
7.212999999999999,10.850999999999999,73.6
6.172999999999999,10.62,69.7
5.28,8.472000000000001,65.3
6.8389999999999995,10.770999999999999,72.4
4.408,8.102,55.1
5.559,8.998,64.2
5.516,9.583,68.4
6.11,9.522,66.8
5.598,9.991,67.2
4.377,8.362,62.4
5.2410000000000005,8.175,54.3
7.025,10.73,74.0
6.151,10.02,70.1
5.771,9.702,69.9
5.709,9.495,68.3
6.507999999999999,10.166,71.4
6.26,,74.1
6.897,10.53,71.3
7.515,10.91,73.0
5.167999999999999,9.802,66.4
5.354,9.244,69.1
4.4719999999999995,9.383,62.3
5.462000000000001,9.019,66.7
6.452999999999999,10.459000000000001,69.0
4.5489999999999995,7.711,59.5
7.888999999999999,10.75,72.1
6.7139999999999995,10.642999999999999,74.2
5.122999999999999,9.568999999999999,64.1
7.312,10.833,72.8
5.319,8.59,58.0
5.787999999999999,10.215,72.8
5.295,,
6.037999999999999,10.335,68.4
7.575,10.824000000000002,73.0
4.225,8.703,60.9
4.865,,66.6
4.785,9.167,61.4
7.035,11.323,72.5
7.195,10.538,73.7
6.4879999999999995,10.562999999999999,74.0
5.257000000000001,8.565,50.7
6.117999999999999,10.58,75.2
4.093999999999999,9.15,67.2
6.167999999999999,10.135,65.8
4.547,8.365,61.3
6.294,,
6.25,8.503,64.7
5.284,8.96,59.5
6.229,10.3,67.4
6.391,10.504000000000001,68.5
6.157,,72.2
6.015,9.972000000000001,67.0
5.9639999999999995,9.782,68.9
5.812,9.462,66.4
6.011,9.396,62.7
5.722,9.913,68.9
4.803,8.871,66.5
4.431,8.554,59.6
4.4510000000000005,9.104,57.1
7.504,10.901,72.5
7.257000000000001,10.6,73.6
5.502999999999999,8.484,50.5
5.053999999999999,9.69,65.56
7.29,11.042,73.4
5.08,9.061,62.1
6.138999999999999,10.370999999999999,70.1
5.768,10.370999999999999,72.8
5.495,10.162,65.1
6.56,10.700999999999999,66.9
6.042000000000001,9.788,69.0
6.519,10.332,69.5
6.462000000000001,10.478,71.7
4.947,9.332,57.3
5.792999999999999,10.648,74.2
6.502000000000001,10.488,75.0
7.314,10.838,72.8
7.507999999999999,11.081,74.7
6.751,,
5.372999999999999,8.08,64.7
3.786,7.881,58.5
5.885,9.769,67.6
4.731,9.231,67.5
4.862,10.219,67.6
4.641,7.684,56.5
5.27,9.427999999999999,65.2
6.457999999999999,11.052999999999999,67.5
6.797999999999999,10.626,72.7
7.028,11.001,68.1
6.31,9.937000000000001,69.2
4.574,,66.9
4.838,8.117,56.3
3.16,7.829,56.8
